# f,ax,ay,az
3.000000000000000000e+01,6.432568175823559023e-07,3.975919311521025720e-07,1.938234243984843247e-06
3.050000000000000000e+01,1.263898695601486049e-06,1.306408953220250877e-06,2.372899663813821548e-06
3.100000000000000000e+01,1.512485927094624176e-07,3.100951260401880978e-06,1.736346213206567018e-06
3.150000000000000000e+01,5.305014415343781361e-07,1.766735539718434732e-06,2.512297112268815405e-06
3.200000000000000000e+01,1.562983289597755760e-06,1.409609859457927927e-07,5.555842639896227995e-07
3.250000000000000000e+01,9.485124072828431584e-07,8.296904081139199073e-07,1.536782108025306113e-06
3.300000000000000000e+01,1.251743111204905125e-06,1.153415813171180614e-07,5.142621573934449411e-07
3.350000000000000000e+01,1.550083755774879329e-06,4.893054445716263079e-08,1.144236435951535339e-06
3.400000000000000000e+01,1.757800111284584657e-07,9.894207606299737192e-08,4.499607121454148866e-07
3.450000000000000000e+01,2.340706654203594109e-08,2.240312774108544710e-07,4.003523645215857968e-07
3.500000000000000000e+01,1.168736810018430846e-06,1.242916627313251904e-06,6.162481125863418913e-07
3.550000000000000000e+01,2.469075942735351204e-06,4.709381802488047804e-07,8.602962187834790987e-07
3.600000000000000000e+01,2.607834043903925796e-06,2.531729749280036043e-07,4.263474560964410397e-07
3.650000000000000000e+01,1.348168490666107672e-06,1.853475031104059770e-07,2.459088204664473077e-06
3.700000000000000000e+01,5.339253873294643299e-07,2.173205804455737966e-07,3.945417379287012028e-06
3.750000000000000000e+01,2.068224579193266092e-06,1.103042838587549520e-06,2.544153913452981078e-06
3.800000000000000000e+01,1.290756655369939087e-06,1.053682579389856636e-06,1.755484474673555488e-06
3.850000000000000000e+01,1.714048119798919125e-07,3.641729371310359153e-07,1.770288558939640134e-06
3.900000000000000000e+01,3.337074383851864451e-07,3.230335332708803484e-07,7.651718876768083774e-06
3.950000000000000000e+01,6.136420788465874890e-08,5.394458643739322318e-07,1.195064383568764873e-05
4.000000000000000000e+01,7.386185430318450916e-07,2.087825391661620755e-07,7.337267942527195849e-06
4.050000000000000000e+01,1.105587635416161037e-06,2.052407834029008083e-08,1.833197643182435125e-06
4.100000000000000000e+01,1.048336903346630993e-06,3.402137390815409083e-07,9.612972379707296102e-08
4.150000000000000000e+01,7.142654708142292485e-07,1.894905978866166509e-06,1.429867375708325041e-07
4.200000000000000000e+01,2.768213660216687888e-07,4.321802945992587780e-06,1.469702936046865269e-07
4.250000000000000000e+01,9.918604443434890770e-07,1.094617685199487016e-06,5.809575504320457666e-07
4.300000000000000000e+01,2.601733301505434725e-08,1.654760203915263328e-06,2.825008463375673881e-06
4.350000000000000000e+01,6.229734839047793732e-08,2.875836757003628150e-06,3.111503440537979391e-06
4.400000000000000000e+01,1.349028431685677489e-07,2.410163934045794261e-07,3.269078888928693102e-06
4.450000000000000000e+01,1.606808646311794984e-06,2.386940085003053596e-08,2.709457020731978774e-06
4.500000000000000000e+01,2.482000505079228228e-06,1.489440833424922369e-07,1.024047357792318651e-06
4.550000000000000000e+01,8.265596481025674361e-07,4.262579495469903503e-07,3.714288455140245683e-07
4.600000000000000000e+01,7.745915131110504784e-08,8.402031962784473303e-07,3.410230546793933941e-08
4.650000000000000000e+01,1.130203467311427729e-06,5.168103889253606893e-07,2.706674977670246509e-07
4.700000000000000000e+01,2.679240537368005207e-07,8.261417354977965037e-07,1.843092313639593144e-07
4.750000000000000000e+01,4.666513820885546975e-07,8.288502161859961034e-08,1.106164273542826136e-06
4.800000000000000000e+01,1.343293122161425371e-06,4.206202822758750122e-07,1.271001839181461549e-06
4.850000000000000000e+01,1.488651349900152768e-06,1.102908368862983984e-06,1.726762791895984819e-08
4.900000000000000000e+01,7.920018400130034403e-07,8.284202466539180594e-07,3.910258163322954813e-11
4.950000000000000000e+01,5.358891887277720670e-07,7.386439616991411244e-07,6.995100524962497089e-08
